pop1,type1,pop2,type2,pop3,type3,pop4,type4,Comparison,Correlation,comparison
pacific,marine,pax,benthic,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.66495483,pacific_pax_pacific_pri
pacific,marine,pax,limnetic,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.731785355,pacific_pax_pacific_pri
pacific,marine,pax,benthic,pacific,marine,pri,benthic,Parallel Divergent Selection,0.840602563,pacific_pax_pacific_pri
pacific,marine,pax,limnetic,pacific,marine,roberts,lake,Parallel Divergent Selection,0.388139576,pacific_pax_pacific_roberts
pacific,marine,pax,limnetic,pacific,marine,roberts,stream,Parallel Divergent Selection,0.391768993,pacific_pax_pacific_roberts
pacific,marine,pax,benthic,pacific,marine,roberts,lake,Parallel Divergent Selection,0.407782138,pacific_pax_pacific_roberts
pacific,marine,pax,benthic,pacific,marine,roberts,stream,Parallel Divergent Selection,0.417021604,pacific_pax_pacific_roberts
pacific,marine,pax,limnetic,pacific,marine,wc,stream,Parallel Divergent Selection,0.302991309,pacific_pax_pacific_wc
pacific,marine,pax,benthic,pacific,marine,wc,stream,Parallel Divergent Selection,0.319699562,pacific_pax_pacific_wc
pacific,marine,pcr,lake,pacific,marine,pri,limnetic,Parallel Divergent Selection,0.421052862,pacific_pcr_pacific_pri
pacific,marine,pcr,lake,pacific,marine,pri,benthic,Parallel Divergent Selection,0.476490109,pacific_pcr_pacific_pri
pacific,marine,pcr,lake,pacific,marine,roberts,stream,Parallel Divergent Selection,0.60859615,pacific_pcr_pacific_roberts
pacific,marine,pcr,lake,pacific,marine,roberts,lake,Parallel Divergent Selection,0.615483916,pacific_pcr_pacific_roberts
pacific,marine,pcr,lake,pacific,marine,wc,stream,Parallel Divergent Selection,0.837996889,pacific_pcr_pacific_wc
pacific,marine,pri,limnetic,pacific,marine,roberts,lake,Parallel Divergent Selection,0.402579727,pacific_pri_pacific_roberts
pacific,marine,pri,limnetic,pacific,marine,roberts,stream,Parallel Divergent Selection,0.419993218,pacific_pri_pacific_roberts
pacific,marine,pri,benthic,pacific,marine,roberts,lake,Parallel Divergent Selection,0.434676339,pacific_pri_pacific_roberts
pacific,marine,pri,benthic,pacific,marine,roberts,stream,Parallel Divergent Selection,0.451800645,pacific_pri_pacific_roberts
pacific,marine,pri,limnetic,pacific,marine,wc,stream,Parallel Divergent Selection,0.354210158,pacific_pri_pacific_wc
pacific,marine,pri,benthic,pacific,marine,wc,stream,Parallel Divergent Selection,0.35987335,pacific_pri_pacific_wc
pacific,marine,roberts,stream,pacific,marine,wc,stream,Parallel Divergent Selection,0.58807486,pacific_roberts_pacific_wc
pacific,marine,roberts,lake,pacific,marine,wc,stream,Parallel Divergent Selection,0.603490247,pacific_roberts_pacific_wc
